Lið,Nafn,Lið,Leikir,Mörk,%,xG,+/-,Víti,V%,FiV,Sto,Sk.F,P%,S7m,TB,Sto/TB,Sk.F/TB,G/A,Frk,Stl,Blk,Stp,Gul,2m,Rau
Haukar,Jón Ómar Gíslason,haukar,29,1.0,65.9,1.16,-0.16,0.1,40.0,0.3,0.2,0.2,100.0,0.1,0.4,0.58,0.58,1.2,0.3,0.1,0.1,0.3,0.0,0.2,0.0
IBV,Hinrik Hugi Heiðarsson,ibv,19,0.7,81.3,0.54,+0.15,0.0,0,0.2,0.0,0.0,0,0.0,0.3,0.00,0.00,0.7,0.0,0.0,0.0,0.1,0.0,0.0,0.0
IR,Eyþór Ari Waage,ir,22,2.2,71.0,2.08,+0.15,0.0,0,0.0,0.0,0.0,0,0.0,0.1,0.00,0.00,2.2,0.4,0.1,0.0,0.0,0.0,0.0,0.0
Selfoss,Haukur Páll Hallgrímsson,selfoss,19,1.7,60.0,1.71,+0.03,0.0,0,0.6,1.8,2.6,69.4,0.1,1.5,1.17,1.69,3.5,0.3,0.1,0.0,0.2,0.0,0.2,0.0
Selfoss,Tryggvi Sigurberg Traustason,selfoss,22,3.8,62.4,3.52,+0.25,0.6,87.5,0.7,4.6,6.7,68.5,0.5,3.5,1.34,1.96,8.4,0.3,0.3,0.1,1.7,0.0,0.1,0.0
Haukar,Sigurður Snær Sigurjónsson,haukar,29,1.8,72.9,1.70,+0.06,0.0,0.0,0.1,0.1,0.2,50.0,0.0,0.1,1.00,2.00,1.9,0.2,0.3,0.0,0.1,0.0,0.0,0.0
Selfoss,Árni Ísleifsson,selfoss,20,0.5,58.8,0.57,-0.07,0.0,0,0.0,0.1,0.1,100.0,0.0,0.1,0.50,0.50,0.6,0.1,0.1,0.0,0.1,0.0,0.0,0.0
Selfoss,Valdimar Örn Ingvarsson,selfoss,22,1.8,69.6,1.90,-0.13,0.0,0,0.5,0.1,0.1,100.0,0.0,0.4,0.33,0.33,1.9,0.2,0.2,0.4,3.7,0.1,1.0,0.1
FH,Gunnar Kári Bragason,fh,33,2.1,80.2,1.93,+0.16,0.0,0,0.3,0.0,0.0,0,0.0,0.4,0.08,0.17,2.1,0.1,0.1,0.3,2.0,0.1,0.3,0.0
Thor,Halldór Kristinn Harðarson,player_images\thor,22,1.1,59.5,1.25,-0.11,0.0,33.3,0.0,0.0,0.0,0,0.0,0.2,0.25,0.25,1.1,0.3,0.0,0.0,0.2,0.0,0.2,0.0
Thor,Jón Ólafur Þorsteinsson,player_images\thor,20,0.2,40.0,0.28,-0.08,0.0,0,0.1,0.2,0.4,50.0,0.0,0.5,0.33,0.67,0.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0
Fram,Erlendur Guðmundsson,fram,24,1.9,71.9,1.84,+0.07,0.0,0,0.3,0.4,0.4,100.0,0.0,0.4,1.00,1.00,2.3,0.4,0.7,0.8,1.6,0.2,0.5,0.1
Fram,Dagur Fannar Möller,fram,24,1.9,76.3,1.77,+0.11,0.0,0,0.5,0.1,0.2,50.0,0.0,0.3,0.33,0.67,2,0.5,0.6,0.5,5.5,0.2,0.9,0.1
Stjarnan,Ísak Logi Einarsson,stjarnan,16,3.8,50.4,3.77,+0.04,0.0,0.0,0.3,1.9,2.7,72.1,0.4,1.5,1.29,1.79,5.7,0.1,0.0,0.0,0.1,0.0,0.1,0.0
Valur,Þorvaldur Örn Þorvaldsson,valur,30,1.5,70.3,1.56,-0.06,0.0,0,0.1,0.2,0.2,85.7,0.0,0.5,0.43,0.50,1.7,0.2,0.3,0.4,2.8,0.1,0.5,0.0
IBV,Garðar Benedikt Sigurjónsson,ibv,7,0.3,50.0,0.38,-0.09,0.0,0,0.0,0.0,0.0,0,0.0,0.1,0.00,0.00,0.3,0.1,0.0,0.0,1.6,0.1,0.3,0.0
Valur,Dagur Leó Fannarsson,valur,32,0.8,50.9,0.91,-0.07,0.0,0,0.1,1.2,1.4,84.8,0.1,0.6,2.05,2.42,2,0.3,0.6,0.2,2.3,0.1,0.2,0.0
Fram,Rúnar Kárason,fram,18,3.9,51.8,3.87,+0.08,0.0,0,0.1,1.3,2.0,66.7,0.2,1.3,1.00,1.50,5.2,0.3,0.3,0.1,0.8,0.0,0.0,0.0
Stjarnan,Benedikt Marinó Herdísarson,stjarnan,21,4.2,61.1,4.38,-0.19,1.6,73.9,0.8,2.7,3.8,70.9,0.2,2.4,1.12,1.58,6.9,0.4,0.1,0.0,2.2,0.1,0.1,0.0
KA,Jóhann Geir Sævarsson,ka,21,0.3,50.0,0.35,-0.02,0.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.00,1.00,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KA,Einar Birgir Stefánsson,ka,26,3.0,67.8,3.21,-0.21,0.0,0,1.2,0.4,0.6,68.8,0.0,0.5,0.85,1.23,3.4,0.6,0.5,0.8,3.7,0.0,0.7,0.0
